Название,Ссылка,Агентство по недвидимости которое продаёт,Ссылка на страница агентства на этом сайте
1245 N Germantown Pky,https://www.loopnet.com/Listing/1245-N-Germantown-Pky-Cordova-TN/35709259/,Marcus & Millichap,https://marcusmillichap.com/
520 I-35,https://www.loopnet.com/Listing/520-I-35-Round-Rock-TX/35461772/,StarPro Realty,https://www.fullcircle-realestate.com/
1710 N Marque Anne Dr,https://www.loopnet.com/Listing/1710-N-Marque-Anne-Dr-Baton-Rouge-LA/35638933/,Elifin Realty,http://elifinrealty.com/
2051 Dogwood St,https://www.loopnet.com/Listing/2051-Dogwood-St-Louisville-CO/35459780/,"Gibbons-White, Inc.",http://www.gibbonswhite.com/
5555 Carmichael Rd,https://www.loopnet.com/Listing/5555-Carmichael-Rd-Montgomery-AL/35315799/,JLL,https://www.us.jll.com/
164 Fort Couch Rd,https://www.loopnet.com/Listing/164-Fort-Couch-Rd-Pittsburgh-PA/35606161/,JLL,https://www.us.jll.com/
80 Cottontail Ln,https://www.loopnet.com/Listing/80-Cottontail-Ln-Somerset-NJ/35620198/,Colliers,http://www.colliers.com/
9110 E Nichols Ave,https://www.loopnet.com/Listing/9110-E-Nichols-Ave-Centennial-CO/35555120/,CBRE,https://www.cbre.com/
1980 Sproul Rd,https://www.loopnet.com/Listing/1980-Sproul-Rd-Broomall-PA/35505914/,Marcus & Millichap,https://marcusmillichap.com/
4 Properties,https://www.loopnet.com/Listing/Retail-Flex-Plaza-19121-Total-SF/35831838/,Wright Kingdom Real Estate,https://www.wkre.com/
16939 East Fwy,https://www.loopnet.com/Listing/16939-East-Fwy-Channelview-TX/35606080/,Marcus & Millichap,https://marcusmillichap.com/
730 Holiday Dr,https://www.loopnet.com/Listing/730-Holiday-Dr-Pittsburgh-PA/35507241/,CBRE,https://www.cbre.com/
6275 Joyce Dr,https://www.loopnet.com/Listing/6275-Joyce-Dr-Arvada-CO/35459778/,"Gibbons-White, Inc.",http://www.gibbonswhite.com/
65 Court St,https://www.loopnet.com/Listing/65-Court-St-Buffalo-NY/35442971/,Coldwell Banker Commercial Realty,https://www.cbcworldwide.com/
11302 Tanner Rd,https://www.loopnet.com/Listing/11302-Tanner-Rd-Houston-TX/27046724/,Aspire Commercial,https://aspire-cre.com/
2273 Washington Rd,https://www.loopnet.com/Listing/2273-Washington-Rd-Washington-IL/35293932/,Joseph & Camper Commercial,https://www.josephcamper.com/
682 US-202,https://www.loopnet.com/Listing/682-US-202-Bridgewater-NJ/35605425/,Marcus & Millichap,https://marcusmillichap.com/
2 Land Properties,https://www.loopnet.com/Listing/High-Density-Mixed-Use-Development-Sites/35214204/,JLL,https://www.us.jll.com/
3500 Decker Dr,https://www.loopnet.com/Listing/3500-Decker-Dr-Baytown-TX/35647716/,Global Real Estate Advisors,https://grea.com/
8 Griffin Rd N,https://www.loopnet.com/Listing/8-Griffin-Rd-N-Windsor-CT/34442654/,Colliers,http://www.colliers.com/
5665 McClelland Dr,https://www.loopnet.com/Listing/5665-McClelland-Dr-Baton-Rouge-LA/35749088/,Elifin Realty,http://elifinrealty.com/
2413 Idlewood Ln,https://www.loopnet.com/Listing/2413-Idlewood-Ln-Odessa-TX/35638955/,Berkadia,http://www.berkadia.com/
1001 N Grandview Ave,https://www.loopnet.com/Listing/1001-N-Grandview-Ave-Odessa-TX/35638934/,Berkadia,http://www.berkadia.com/
1737 La Annie Dr,https://www.loopnet.com/Listing/1737-La-Annie-Dr-Baton-Rouge-LA/35638926/,Elifin Realty,http://elifinrealty.com/
1155 Mitchell Bridge Rd,https://www.loopnet.com/Listing/1155-Mitchell-Bridge-Rd-Athens-GA/32932025/,Merit Realty Partners,https://www.meritrealtypartners.com/
4 Griffin Rd N,https://www.loopnet.com/Listing/4-Griffin-Rd-N-Windsor-CT/34442656/,Colliers,http://www.colliers.com/
309-337 Alexis Rd,https://www.loopnet.com/Listing/309-337-Alexis-Rd-Toledo-OH/34675671/,CMP Real Estate Group,http://www.cmprealestategroup.com/
310-312 Nesbit St,https://www.loopnet.com/Listing/310-312-Nesbit-St-Punta-Gorda-FL/31545538/,Ian Black Real Estate,http://www.ian-black.com/
1114 N State Road 7,https://www.loopnet.com/Listing/1114-N-State-Road-7-Hollywood-FL/27643174/,RE/MAX 5 Star Realty,https://www.5starhollywood.com/
167-171 W Main St,https://www.loopnet.com/Listing/167-171-W-Main-St-Rahway-NJ/28269275/,Village Green Realty,https://www.propertiesbyvillagegreen.com/
24 Centenary St,https://www.loopnet.com/Listing/24-Centenary-St-Binghamton-NY/32985459/,SVN | Innovative Commercial Advisors,https://www.svninnovative.com/
302 Bill Clinton Dr,https://www.loopnet.com/Listing/302-Bill-Clinton-Dr-Hope-AR/35581296/,"Blueprint Healthcare Real Estate Advisors, LLC",http://www.blueprinthcre.com/
7677 Broadview Rd,https://www.loopnet.com/Listing/7677-Broadview-Rd-Seven-Hills-OH/35494084/,"CBRE, Inc.",https://www.cbre.com/
500 Hamilton Blvd,https://www.loopnet.com/Listing/500-Hamilton-Blvd-Peoria-IL/35742658/,Berkadia Investment Services,http://www.berkadia.com/
3811 Kimwell Dr,https://www.loopnet.com/Listing/3811-Kimwell-Dr-Winston-Salem-NC/35634396/,Freeman Commercial Real Estate,http://www.freemancommercial.com/
8301 E Washington St,https://www.loopnet.com/Listing/8301-E-Washington-St-Indianapolis-IN/31736715/,Colliers,http://www.colliers.com/
7855 N Point Pky,https://www.loopnet.com/Listing/7855-N-Point-Pky-Alpharetta-GA/35620597/,Skyline Seven Real Estate,http://www.skylineseven.com/
2805-2897 Thousand Oaks Dr,https://www.loopnet.com/Listing/2805-2897-Thousand-Oaks-Dr-San-Antonio-TX/32105183/,NAI Capital,https://www2.naicapital.com/
11601 Research Cir,https://www.loopnet.com/Listing/11601-Research-Cir-Alachua-FL/31027013/,JLL,https://www.us.jll.com/
1515 N Alexander Dr,https://www.loopnet.com/Listing/1515-N-Alexander-Dr-Baytown-TX/35637564/,Encore Real Estate Investment Services,http://www.encorereis.com/
8001 West Ln,https://www.loopnet.com/Listing/8001-West-Ln-Stockton-CA/35795129/,Matthews Real Estate Investment Services,https://www.matthews.com/
2301 50th St,https://www.loopnet.com/Listing/2301-50th-St-Lubbock-TX/35001419/,Coldwell Banker Commercial Capital Advisors,https://cbccapitaladvisors.com/
315-317 Mountain Rd,https://www.loopnet.com/Listing/315-317-Mountain-Rd-Union-City-NJ/33436633/,"The Kislak Company, Inc.",https://www.kislak.com/
4777 E Outer Dr,https://www.loopnet.com/Listing/4777-E-Outer-Dr-Detroit-MI/32323747/,"M. Shapiro Development Company, LLC",http://www.mshapirorealestate.com/
1830 Pipestone Rd,https://www.loopnet.com/Listing/1830-Pipestone-Rd-Benton-Harbor-MI/32785148/,SRS National Net Lease,https://srsre.com/national-net-lease-group
2835 S Delsea Dr,https://www.loopnet.com/Listing/2835-S-Delsea-Dr-Vineland-NJ/35330977/,Bang Realty,https://www.bangcre.com/
215 W Elm St,https://www.loopnet.com/Listing/215-W-Elm-St-Sycamore-IL/32695574/,"iReal Estate Commercial, Inc.",
175 Placerville Dr,https://www.loopnet.com/Listing/175-Placerville-Dr-Placerville-CA/27827576/,CBRE,https://www.cbre.com/
Barber Rd at Morgan St,https://www.loopnet.com/Listing/Barber-Rd-at-Morgan-St-Barberton-OH/35639116/,CBRE,https://www.cbre.com/
75 School Dr,https://www.loopnet.com/Listing/75-School-Dr-Poteet-TX/29489016/,Keller Williams Commercial Legacy Group,https://kellerwilliamslegacygroup.yourkwoffice.com/
9512 S Padre Island Dr,https://www.loopnet.com/Listing/9512-S-Padre-Island-Dr-Corpus-Christi-TX/33586232/,Andrew Arroyo Real Estate Inc.,
8900 Chimney Rock Rd,https://www.loopnet.com/Listing/8900-Chimney-Rock-Rd-Houston-TX/34217818/,Institutional Property Advisors,http://www.institutionalpropertyadvisors.com/
11131 Folsom Blvd,https://www.loopnet.com/Listing/11131-Folsom-Blvd-Rancho-Cordova-CA/35661501/,Apex Lodging Advisors,https://www.apexlodgingadvisors.com/
4 Properties,https://www.loopnet.com/Listing/4-Building-Opportunity-in-Berkeley/35636004/,Keegan & Coppin Inc.,https://keegancoppin.com/
1315 Menaul Blvd NE,https://www.loopnet.com/Listing/1315-Menaul-Blvd-NE-Albuquerque-NM/34261006/,Marmot Properties,http://www.marmotproperties.com/
3 Health Care Properties,https://www.loopnet.com/Listing/55-Beds-Income-Producing-Assisted-Living/35759342/,Coldwell Banker Commercial Realty,https://www.cbcworldwide.com/
17 S New York Ave,https://www.loopnet.com/Listing/17-S-New-York-Ave-Atlantic-City-NJ/35587361/,Coldwell Banker Argus,https://www.cbcworldwide.com/
100 Rainwater St,https://www.loopnet.com/Listing/100-Rainwater-St-Sardis-MS/33676102/,Colliers International Memphis,http://www.colliers.com/
2939 S Arlington Rd,https://www.loopnet.com/Listing/2939-S-Arlington-Rd-Akron-OH/35498053/,HREC,http://www.hrec.com/
500 Prospect Ave,https://www.loopnet.com/Listing/500-Prospect-Ave-West-Orange-NJ/35721147/,CAPC Brokerage,
8 Marcella Ave,https://www.loopnet.com/Listing/8-Marcella-Ave-West-Orange-NJ/35721756/,CAPC Brokerage,
2366 Old Springville Rd,https://www.loopnet.com/Listing/2366-Old-Springville-Rd-Birmingham-AL/35742562/,"Blueprint Healthcare Real Estate Advisors, LLC",http://www.blueprinthcre.com/
525 Milam St,https://www.loopnet.com/Listing/525-Milam-St-Shreveport-LA/35593138/,"Beth King Real Estate, LLC",http://bethkingrealestate.com/
1021 US Highway 45 N,https://www.loopnet.com/Listing/1021-US-Highway-45-N-Eldorado-IL/35658932/,Coldwell Banker Commercial Realty,https://www.cbcworldwide.com/
3 Land Properties,https://www.loopnet.com/Listing/Rare-North-Beach-SF-Residential-Infill/36191387/,Compass Commercial,https://www.compass.com/commercial/
Liberty Rd,https://www.loopnet.com/Listing/Liberty-Rd-Villa-Rica-GA/35810571/,Colliers,http://www.colliers.com/
2 Land Properties,https://www.loopnet.com/Listing/SFR-Development-Lots-in-North-Las-Vegas/35280437/,Wealth Realty,
139 Keen St,https://www.loopnet.com/Listing/139-Keen-St-Burkesville-KY/35723804/,Lee & Associates,https://www.lee-associates.com/
412 Wurtland Ave,https://www.loopnet.com/Listing/412-Wurtland-Ave-Greenup-KY/35687411/,Lee & Associates,https://www.lee-associates.com/
104 E Park St,https://www.loopnet.com/Listing/104-E-Park-St-Bordentown-NJ/34903286/,Lee & Associates Commercial Real Estate Services,https://www.lee-associates.com/
3 Independence Way,https://www.loopnet.com/Listing/3-Independence-Way-Princeton-NJ/35351644/,Newmark,http://www.nmrk.com/
3330 Harding Blvd,https://www.loopnet.com/Listing/3330-Harding-Blvd-Baton-Rouge-LA/35877038/,Marcus & Millichap,https://marcusmillichap.com/
252-262 Depot Rd,https://www.loopnet.com/Listing/252-262-Depot-Rd-Milford-CT/34888698/,Regions Commercial LLC,http://www.regionscommercial.com/
7800 McCloud Rd,https://www.loopnet.com/Listing/7800-McCloud-Rd-Greensboro-NC/35891528/,Cushman & Wakefield,https://www.cushmanwakefield.com/en
1144 E Grand St,https://www.loopnet.com/Listing/1144-E-Grand-St-Elizabeth-NJ/35674468/,Marcus & Millichap,https://marcusmillichap.com/
335 W C St,https://www.loopnet.com/Listing/335-W-C-St-Wilmington-CA/35863624/,Colliers,http://www.colliers.com/
2205 Barker Oaks Dr,https://www.loopnet.com/Listing/2205-Barker-Oaks-Dr-Houston-TX/35537484/,Seth Equities,
900 Shelby Rd,https://www.loopnet.com/Listing/900-Shelby-Rd-Kings-Mountain-NC/35878687/,Bang Realty,https://www.bangcre.com/
51 S Walnut St,https://www.loopnet.com/Listing/51-S-Walnut-St-Wauregan-CT/35863373/,Regions Commercial LLC,http://www.regionscommercial.com/
6 Properties,https://www.loopnet.com/Listing/Prime-Medical-Office-and-Land-Portfolio/35370185/,Pace Properties Incorporated,http://www.paceproperties.com/
3901 Carmichael Ave,https://www.loopnet.com/Listing/3901-Carmichael-Ave-Jacksonville-FL/33599801/,Marcus & Millichap,https://marcusmillichap.com/
1716 San Antonio St,https://www.loopnet.com/Listing/1716-San-Antonio-St-Austin-TX/33287618/,Spyglass Realty & Investments,https://www.spyglassrealty.com/
100 S 2nd St,https://www.loopnet.com/Listing/100-S-2nd-St-San-Jose-CA/35852942/,Prudentia Real Estate,https://www.prudentiare.com/
160 Main St,https://www.loopnet.com/Listing/160-Main-St-Matawan-NJ/35790898/,Colliers,http://www.colliers.com/
4759 Earl Gros Ave,https://www.loopnet.com/Listing/4759-Earl-Gros-Ave-Baton-Rouge-LA/35138089/,Avison Young,https://www.avisonyoung.com/
601 NE 36th St,https://www.loopnet.com/Listing/601-NE-36th-St-Miami-FL/34522679/,Avenue Real Estate Partners,http://www.avenuerep.com/
3664 Coolidge Ct,https://www.loopnet.com/Listing/3664-Coolidge-Ct-Tallahassee-FL/33237792/,Craig Commercial Realty,http://www.johnnybluerealty.com/
601 W Rosemary St,https://www.loopnet.com/Listing/601-W-Rosemary-St-Chapel-Hill-NC/35830878/,SVN | Real Estate Associates,https://www.svn-rea.com/
283 4th St,https://www.loopnet.com/Listing/283-4th-St-Oakland-CA/35895708/,CP Partners CRE,http://www.cppcre.com/
4 Retail Properties,https://www.loopnet.com/Listing/Full-City-Block-Rehab-or-Adaptive-Reuse/35721566/,"NewLeaf Brokerage, LLC",https://newleafbrokerage.com/
351 Merline Rd,https://www.loopnet.com/Listing/351-Merline-Rd-Vernon-CT/35829073/,Regions Commercial LLC,http://www.regionscommercial.com/
11 Finegan Rd,https://www.loopnet.com/Listing/11-Finegan-Rd-Del-Rio-TX/29208828/,Cushman & Wakefield | PIRES International,http://www.piresintl.com/
Two Pines Rd,https://www.loopnet.com/Listing/Two-Pines-Rd-North-Little-Rock-AR/35427375/,Hathaway Group,http://www.hathawaygroup.com/
699 Enfield St,https://www.loopnet.com/Listing/699-Enfield-St-Enfield-CT/31010492/,Colliers,http://www.colliers.com/
1318 Sibley Memorial Hwy,https://www.loopnet.com/Listing/1318-Sibley-Memorial-Hwy-Mendota-MN/35878623/,Brisky Net Lease,https://brisky.com/
2175 University Park Dr,https://www.loopnet.com/Listing/2175-University-Park-Dr-Okemos-MI/35621837/,Godwin Group,https://marcusmillichap.com/
6671 Pearl Rd,https://www.loopnet.com/Listing/6671-Pearl-Rd-Cleveland-OH/35774138/,"CBRE, Inc.",https://www.cbre.com/
8161 Executive Ct,https://www.loopnet.com/Listing/8161-Executive-Ct-Lansing-MI/35621833/,Godwin Group,https://marcusmillichap.com/
45 8th St,https://www.loopnet.com/Listing/45-8th-St-Midland-PA/35892311/,"JPH Realty Advisors, LLC",http://www.jphrealty.com/
235 Broubalow Way,https://www.loopnet.com/Listing/235-Broubalow-Way-Phillipsburg-NJ/30335672/,Paranee Property Management,https://paraneeproperty.com/
